filepath,xmin,xmax,ymin,ymax
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N140.xml,346,423,197,221
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N141.xml,150,348,255,296
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N142.xml,66,174,234,259
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N143.xml,115,524,144,296
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N144.xml,39,177,201,275
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N145.xml,233,432,88,151
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N147.xml,424,613,548,591
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N148.xml,244,369,240,293
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N149.xml,186,324,116,148
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N15.xml,582,853,622,691
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N150.xml,172,372,97,143
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N151.xml,144,277,216,252
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N152.xml,265,725,247,347
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N153.xml,133,279,352,385
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N154.xml,106,245,157,196
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N155.xml,145,313,167,201
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N156.xml,49,106,230,249
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N158.xml,122,224,268,292
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N16.xml,887,1173,625,696
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N160.xml,153,251,196,217
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N162.xml,147,336,169,209
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N163.xml,230,316,203,231
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N164.xml,248,421,121,174
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N165.xml,186,374,290,335
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N166.xml,809,1034,246,295
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N167.xml,345,848,242,416
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N168.xml,271,474,514,561
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N169.xml,167,413,208,263
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N17.xml,88,216,507,556
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N170.xml,299,442,337,386
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N171.xml,13,444,137,270
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N172.xml,147,370,133,184
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N173.xml,80,335,150,243
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N174.xml,315,665,442,531
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N175.xml,183,250,205,229
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N176.xml,195,383,320,358
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N177.xml,331,538,263,317
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N178.xml,210,335,289,351
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N179.xml,203,297,217,240
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N18.xml,373,528,366,408
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N181.xml,361,499,381,432
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N183.xml,216,343,155,190
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N184.xml,229,1391,204,660
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N185.xml,321,559,420,484
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N186.xml,464,561,286,344
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N187.xml,572,839,461,535
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N188.xml,587,711,760,832
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N189.xml,178,381,121,181
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N19.xml,99,216,367,423
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N190.xml,896,1558,814,969
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N191.xml,317,568,319,397
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N192.xml,543,769,390,461
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N193.xml,274,502,2,59
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N195.xml,186,367,137,232
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N196.xml,119,220,84,111
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N197.xml,120,184,103,130
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N198.xml,214,335,138,169
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N199.xml,45,112,206,255
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N2.xml,1804,2493,1734,1882
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N20.xml,498,796,729,814
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N200.xml,196,442,227,293
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N201.xml,157,290,193,229
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N202.xml,157,329,260,296
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N203.xml,765,1258,821,905
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N204.xml,94,206,307,334
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N205.xml,322,479,169,203
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N206.xml,121,215,120,147
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N207.xml,213,339,280,307
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N208.xml,199,274,203,221
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N209.xml,145,319,200,244
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N21.xml,244,403,221,258
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N210.xml,143,337,210,254
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N211.xml,74,160,149,175
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N212.xml,159,353,115,173
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N213.xml,131,209,129,153
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N214.xml,167,277,189,226
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N215.xml,85,258,390,446
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N216.xml,322,682,300,371
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N217.xml,404,585,429,468
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N218.xml,176,301,212,238
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N219.xml,1,300,92,154
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N22.xml,493,858,885,967
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N220.xml,182,349,238,273
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N221.xml,104,209,153,182
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N222.xml,127,183,122,156
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N223.xml,69,585,79,183
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N224.xml,164,272,223,247
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N225.xml,775,1142,965,1101
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N226.xml,142,343,253,304
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N227.xml,626,768,280,359
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N229.xml,358,1031,294,540
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N23.xml,107,201,264,288
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N230.xml,271,484,332,384
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N231.xml,581,700,273,319
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N232.xml,286,451,216,258
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N233.xml,99,223,20,50
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N234.xml,224,307,158,183
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N235.xml,44,656,128,391
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N236.xml,313,380,111,141
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N237.xml,121,243,163,198
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N238.xml,165,341,129,170
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N239.xml,106,263,238,276
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N24.xml,151,280,193,224
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N240.xml,164,285,99,137
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N241.xml,251,542,308,385
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N242.xml,202,386,190,227
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N244.xml,335,452,313,343
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N245.xml,192,364,279,319
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N246.xml,23,160,261,321
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N247.xml,641,886,518,578
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N248.xml,288,429,248,281
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N25.xml,132,235,169,193
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N27.xml,696,1061,546,677
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N28.xml,738,1009,654,722
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N3.xml,73,260,381,462
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N30.xml,928,1219,543,606
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N31.xml,256,381,233,261
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N32.xml,360,500,171,206
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N33.xml,856,1218,665,751
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N34.xml,576,902,487,596
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N35.xml,97,229,338,378
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N36.xml,392,517,161,213
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N37.xml,77,200,231,290
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N38.xml,397,645,590,641
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N4.xml,1326,1830,1464,1607
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N40.xml,328,580,208,254
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N42.xml,163,373,253,327
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N43.xml,142,298,281,327
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N44.xml,113,257,282,322
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N45.xml,107,256,147,180
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N46.xml,454,797,109,234
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N47.xml,161,313,212,259
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N48.xml,156,335,259,303
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N49.xml,196,352,135,173
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N5.xml,938,1173,709,762
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N50.xml,101,397,223,291
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N51.xml,383,491,212,248
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N52.xml,234,422,254,294
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N53.xml,217,428,147,188
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N54.xml,189,299,162,188
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N56.xml,302,486,265,303
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N57.xml,211,406,161,202
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N58.xml,221,430,190,231
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N59.xml,1238,2468,1012,1269
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N6.xml,858,1122,611,676
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N61.xml,158,350,252,297
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N62.xml,289,421,188,232
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N63.xml,297,422,174,218
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N64.xml,19,94,249,314
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N65.xml,1024,1273,611,680
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N66.xml,163,320,247,280
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N67.xml,164,336,162,195
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N68.xml,319,479,262,295
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N69.xml,637,840,464,549
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N7.xml,1149,1358,649,702
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N70.xml,186,395,376,430
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N72.xml,186,325,177,212
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N73.xml,124,209,102,130
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N74.xml,161,366,210,250
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N75.xml,466,740,680,737
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N77.xml,361,566,190,297
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N78.xml,146,302,160,196
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N79.xml,113,277,288,347
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N8.xml,788,1525,1675,1851
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N80.xml,248,372,116,144
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N81.xml,66,174,302,332
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N82.xml,456,651,722,778
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N84.xml,235,349,319,352
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N85.xml,163,302,357,427
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N86.xml,448,638,273,338
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N88.xml,208,370,89,173
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N89.xml,150,378,217,269
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N9.xml,142,441,55,167
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N90.xml,53,185,206,232
D:\CoSoNganhIT\1_IntroductionToAI\Project2_Automatic-License-Plate-Recognition\source\data/images\N91.xml,239,347,187,211
